text	Joy	Fear	Anger	Sadness	Disgust	Surprise
Всім хорошого ранку і гарних вихідних! ;)	1	0	0	0	0	0
Боже, через це сонечко почуваюся живою!	1	0	0	0	0	0
Він мені теж сподобався, навіть більше ніж вітрівка.	1	0	0	0	0	0
 і харашо) я б теж зараз з"їла, але нема)	1	0	0	1	0	0
таа, небо сьогодні було прекрасне :з це типу ноуфільтр, чи як сказати)	1	0	0	0	0	0
психологічна консультація опівночі під воротами була приємно винагороджена	1	0	0	0	0	0
Я зараз помру від щастя	1	0	0	0	0	0
це справді приємно, людей ніхто ж не заставляє :)	1	0	0	0	0	0
сьогодні сонячно :) сиджу на горі, ловлю lіfе і медитую:)	1	0	0	0	0	0
п'ятниця 13, а в мене чудовий день, я повна сил, настрій на висоті і я вже стільки зробила.	1	0	0	0	0	0
Обожнюю погоду +16 з сірим небом та шаленим вітром	1	0	0	0	0	0
Перше моє архітектурне кохання :)	1	0	0	0	0	0
Дядько в поїзді розказує,як він в селі з ракетниці стріляв:D	1	0	0	0	0	0
А ще я обожнюю, коли папа раз в тищюпітсот лєт дає мені гроші, а мама їх прикарманює.	1	0	0	0	0	0
Ресторан в укр.стилі,а ми маемо бути в маскараді:)	1	0	0	0	0	0
гг,лякали тим місяцем тиждень,а такий день і вечір сьодня файний)	1	0	0	0	0	0
до біса чудовий день, от зараз справді літо. і так, з розділу випадкових фото, які виглядають досить непогано.	1	0	0	0	0	0
посміхаюсь від твоїх смс, дурочка	1	0	0	0	0	0
то він вже за любою сестричкою скучив)	1	0	0	0	0	0
ух! з легким паром мене!	1	0	0	0	0	0
Вирішила додати трішки лімончелло і не прогадала:)	1	0	0	0	0	0
Смачної кави, толкових колег, вірних друзів поряд))) Всі зірки падають до твоїх ніг;)	1	0	0	0	0	0
аж не віриться, шо ти приїдеш і я тебе потрогаю)	1	0	0	0	0	1
цей момент ...коли мама присилає смайлик...а в мене стара версія скайпа)))))	1	0	0	0	0	0
Дякую хорошим людям,що мене приняли на ніч,нагодували,кавою напоїли:)	1	0	0	0	0	0
та ні, побажання на весь наступний день ;)	1	0	0	0	0	0
до сліз, це поки найсмішніший твіт з усієї стрічки	1	0	0	0	0	0
сподобався...дуже все акуратне)) а люду мало і ввечері  в суботу майже все закрите))	1	0	0	0	0	0
Сергійку! сьогодні в тебе день Ангела))) вітаю!	1	0	0	0	0	0
кум мене любить, не ображає:))	1	0	0	0	0	0
Це було дуже весело) Дякую, пацани !!!	1	0	0	0	0	0
То саме головне ^___^ RT :  Мені дуууже сподобався!	1	0	0	0	0	0
і доречі була в Копальні кави. там такиииииий запах.	1	0	0	0	0	0
здала екзамен з журналістики. в андрія святкуєм :з	1	0	0	0	0	0
маю крутезного вчителя з правознавства і надзвичайно тому рада.  добре, що це більше не та відьма-вчителька-права, яка була з 6 класу.	1	0	0	0	0	0
"Територія кайфу" ну хіба не звучить? )))	1	0	0	0	0	0
ти би дето в профілі написав шо ти бивший танкіст гг, а то ж ніхто не зна	1	0	0	0	0	0
привітала тата з днем Батька ))) тішиться)	1	0	0	0	0	0
мені здається я говорю більше ніж ти ;)	1	0	0	0	0	0
вампіри п"ють кров, а архітектори туш...))	1	0	0	0	0	0
Хоч я обожнюю працювати з дітьми	1	0	0	0	0	0
це дуже підняло мені настрій	1	0	0	0	0	0
в селі також мало)) і тобі Веселих Свят!	1	0	0	0	0	0
Якщо вірити всьому, що відбувається в житті у людей з якими я зустрічалась, то скоро ти станеш щасливою	1	0	0	0	0	0
це ще не найгірший варіант))	1	0	0	0	0	0
Вау  ВАУВАУВАУ Тре це зробити	1	0	0	0	0	0
мені подобається хід твоїх думок)	1	0	0	0	0	0
клас! там наші козаки. що листа пишуть... султану!	1	0	0	0	0	0
Весь тред смішний і хороший	1	0	0	0	0	0
Віта: *з посмішкою на все лице* доброго ранку! в мене також жахливий день, я також нещасна.	1	0	0	0	0	0
так я теж) *в будь-якому випадку - удачі	1	0	0	0	0	0
Відчуваю, що маю віддячити за всі відгуки) Ера Facebook.	1	0	0	0	0	0
(y) (y) (y) Дуже потішила львівська говірка "Q" :D "Це все-медовуха!" 	1	0	0	0	0	0
скоро побачу Влада, я щаслів	1	0	0	0	0	0
годую усіх святковим олів"є,всі щасливі :)	1	0	0	0	0	0
ой!! а я подарунок досі не відкрила!!)))) і конверти не відкрила)))	1	0	0	0	0	0
забрала посилку! дуже дякую! ))	1	0	0	0	0	0
Це спасає мої очі щоранку і щовечора!	1	0	0	0	0	0
Просто чудо, наступний урок як раз таки відмінили.	1	0	0	0	0	0
так сильно мене любиш. пріятно)	1	0	0	0	0	0
добре, що від позитивних емоцій нема передозу)))) Дякую, тезко.	1	0	0	0	0	0
вмикаєш Ляпіс і почуваєшся щасливою!	1	0	0	0	0	0
Валіки зробили наш вечір:)	1	0	0	0	0	0
дуже дякую, надзвичайно приємно С:	1	0	0	0	0	0
чудово, тобі подобається! ти там житимеш	1	0	0	0	0	0
 , залишайся такою ж милою та прекрасною :3 З днем народження тебе	1	0	0	0	0	0
з Новим роком тебе :)	1	0	0	0	0	0
RT : втілено перший мій проект на новій роботі... дрібниця, а приємно...	1	0	0	0	0	0
То про нас  Практика буде весела))	1	0	0	0	0	0
сподобалось те, що бачив в трейлерах. алсо, сама ідея цікава. алсо – на пєка хєр що виходило останнім часом цікаве.	1	0	0	0	0	0
ай да да хто мені третю сотню фоловерів відкрив. це к добру вєрняк.	1	0	0	0	0	0
вітаю!!! хто там у вас?))	1	0	0	0	0	0
(а ще мені подобаються ці кеди)	1	0	0	0	0	0
Завдяки  відновила прийом ліків;) і щоразу згадую синичку)	1	0	0	0	0	0
З днем народження, кицю   Щастя тобі :3 Кохай і будь коханою 	1	0	0	0	0	0
я ще салат робила:) смачного мені))	1	0	0	0	0	0
та ладно, я бичі яйка хрумала. мені вже ніц не страшно)	1	0	0	0	0	0
побачила вдома новорічну листівку від  )) дякую!	1	0	0	0	0	0
в Тернополі в мене є нові друзі ))	1	0	0	0	0	0
А мені - смакота нереальна.	1	0	0	0	0	0
RT : дорогі українські твіттеряне вітаю вас сердечно з Великоднем! мирного неба! багатої душі вам!)	1	0	0	0	0	0
вітання всім від мене ;)	1	0	0	0	0	0
RT : RT  Всіх вітаю з 68 річницею створення Української Повстанської Армії!	1	0	0	0	0	0
дякую, за теплі слова ^^	1	0	0	0	0	0
Расслабся, мені може бути влом шось видумувати, то я так лякаю тіки)	1	0	0	0	0	0
гарна погода, можна пройтись додому :)	1	0	0	0	0	0
так дивно, коли підходить незнайома людина і каже «а я тебе знаю, ти Наталія Піскова. я тебе колись фоловив і шось реплаїв» :))	1	0	0	0	0	0
Треба було ще псіханути і купити таки київський торт)	1	0	0	0	0	0
Так) на днях переживлялась архів) то було сторіс в інста, але я завантажила, бо ви мєгакльові	1	0	0	0	0	0
спасибі, це так милоооо :з	1	0	0	0	0	0
хоча мені ота розмальовка всл з цифрами крепко до вподоби. мій уравєнь якраз)	1	0	0	0	0	0
RT  бармуша шлак не робить)) мені приємно, дякую.	1	0	0	0	0	0
швидкого одужання!!! і щоб такий екстрім ніколи-ніколи не посторювався, бажаю:)	1	0	0	0	0	0
я зранку снідала зожною вівсянкою, а в обід подруга потягнула в макдо)	1	0	0	0	0	0
зараз у вікні просто фантастичний пейзаж!	1	0	0	0	0	0
ти вибач, тобі боляче, але я не можу не сказати, що знову бачу в цьому підтекст :D	1	0	0	0	0	0
бачу всі живі і в зборі)))це дуже добре))	1	0	0	0	0	0
я сьогодні купила собі пачечку і тішусь, як дурне	1	0	0	0	0	0
круто! я так хотіла щоб комусь в наголі стало) ще виношую ідею чоловічих подарунків)	1	0	0	0	0	0
Ну шо, з Новим Роком.	1	0	0	0	0	0
Закохалася в цю фотосесію Яни:)	1	0	0	0	0	0
Я ж кожним днем буду любити тебе все більше,обіцяю ) Нам разом буде добре 	1	0	0	0	0	0
Ооо то вже взагалі файно	1	0	0	0	0	0
йду на Бунюеля. сама, але щаслива, бо йду:)	1	0	0	0	0	0
Оооо Богданчик  в ефірі, буде весело)	1	0	0	0	0	0
Так гарно було без тої спеки.	1	0	0	0	0	0
піднімаю собі настрій, купуючи подаруночки іншим людям.	1	0	0	0	0	0
це єдине що радує)) ще є парламент)	1	0	0	0	0	0
мерсі) твій ретвіт точно має допомогти :)	1	0	0	0	0	0
головний герой прям як я - прєвазмагая боль рішає діла.  дякую за подгон, сподобався	1	0	0	0	0	0
Нє,ви просто не розумієте яка я щаслива) я з добрий рік перший томик шукала	1	0	0	0	0	0
З днем народження, котику  , щастя тобі :	1	0	0	0	0	0
раз всі вітають то і я вітаю!	1	0	0	0	0	0
В маршрутці ажіотаж,мене здушили,як пончик в сумцї )	1	0	0	0	0	0
-солодких снів -на добраніч. окремо *дікій ржач* 	1	0	0	0	0	0
Хей, , з Днем Народження тебе  Залишайся такою щирою та ніколи не кидай тві :з Сподіваюсь, ти провела цей день із посмішкою	1	0	0	0	0	0
Вітаю з Днем народження !Ту,що робить файних совенят і може й мене колись навчить;)	1	0	0	0	0	0
як на перший раз - дуже смачно;))	1	0	0	0	0	0
Ранок сонячний, гарний і все було б чудово якби не зник Wi-Fi.	1	0	0	0	0	0
у це також, але і дуже смачні)	1	0	0	0	0	0
Всі такі привітні, вітаються, на підйомі.	1	0	0	0	0	0
Я от на городі щавель пожираю і норм ;)	1	0	0	0	0	0
+5 RT :  Дякую за гарний настрій)	1	0	0	0	0	0
ти не розумієш, жінки для фото так нарядилися )	1	0	0	0	0	0
А це я, на своє день народження, радію квесту, який придумали друзі	1	0	0	0	0	0
Всім привіт і гарного дня!	1	0	0	0	0	0
Вітаю з святом та бажаю побільше любові і бананів та поменше роботи й помилок в дипломі  Загалом, щастя тобі, Лінія Мажино.	1	0	0	0	0	0
Подивись на котейку і посміхнись :	1	0	0	0	0	0
Там ще і гуцулки є :)	1	0	0	0	0	0
за 10 хвилин справились з непадлєжащим порядком і чистотою)	1	0	0	0	0	0
Тася у Львові = Джо щаслива:з	1	0	0	0	0	0
там така дівчинка гарна)))і торент качається)	1	0	0	0	0	0
о то це прекрасно) Приходьте до нас на турнір з петанку до Порохової вежі;)	1	0	0	0	0	0
потрачу годинку на історію, дістану свого прекрасного велосипеда і повалю насолоджуватись природою :з	1	0	0	0	0	0
мені не сумно зараз, в мене завтра екзамен))	1	0	0	0	0	0
я: *пишу смс і усміхаюсь* мала(5років): *дивиться підозрілим поглядом* може ти в когось влюбилаааась?!	1	0	0	0	0	0
ооо да ) І форма загалом в них гарна!	1	0	0	0	0	0
ну якшо не підсолити то і цвітна капуста -  трава)	1	0	0	0	0	0
Тримайте привітання всі любителі синичок!	1	0	0	0	0	0
Гарно розпочати завтра новий тиждень =* цьомки	1	0	0	0	0	0
супер, на ці вихідні ми запланували в столицю, а ще на наступні спокійно можемо чекати гостей ;)	1	0	0	0	0	0
Забираю свої слова назад, в цьому топіку смішні коменти.	1	0	0	0	0	0
Я просто в захваті від таких інтернет магазинів як .	1	0	0	0	0	0
Перший раз запікала качку.Підгоріла,не правильно замотала фольгою,на смак ше не знаю:)	1	0	0	0	0	0
Вовчик купив мені величезну пляшку бухлішка.	1	0	0	0	0	0
Так мені більше подобається:)продовжуй!гарно виходить!	1	0	0	0	0	0
сьогодні день поцілунків, тому я йду цілувати свого котіка	1	0	0	0	0	0
знайшла в Карі три пари за 55, щітаю ета успєх	1	0	0	0	0	0
то максимум 12+. бо 14 літні такого розказати зараз можуть, що очі на лоба вилізуть бгг 21+, повеселило.	1	0	0	0	0	1
Подарунок і поповнення колекції;) дякую!	1	0	0	0	0	0
прасті радіма, може неукуратно відповіла. просто ти мене налякала, добре шо я сиділа))	1	0	0	0	0	0
А це ж така краса.	1	0	0	0	0	0
нарешті я бачу людину, яка мислить так само, як я *0*	1	0	0	0	0	0
я ж архітєктор:)) але без толкового будівельника в нашій справі ніяк)	1	0	0	0	0	0
головне усміхнені і зовсім не сонні)	1	0	0	0	0	0
Нарешті нормальна п'ятниця, з чим я вас і вітаю!	1	0	0	0	0	0
Мої вам побажання, посміхаєтеся крізь купу цього лайна, що трапляється кожного дня !	1	0	0	0	0	0
мояяяяя...її...кохааай ця любов назавжди. я знаююю.	1	0	0	0	0	0
Олюсічки, квіточки мої, з днем ангела вас, любі!	1	0	0	0	0	0
чудово, всі живі здорові)) святкують...	1	0	0	0	0	0
це шикарне відчуття, коли одягаєш футболку, яка ще навесні була мала, і бачиш, що вона вільна.	1	0	0	0	0	0
у мене з вересня аж 26 буде. назаплітаюсь)	1	0	0	0	0	0
хочу ще пожити з ним разом)	1	0	0	0	0	0
