text	Joy	Fear	Anger	Sadness	Disgust	Surprise
вже майже час слухаю співи  , це справді шикарно*-*	1	0	0	0	0	0
нарешті вони всі знайшли своїх господарів)) Найгіршою виявилась пошта Москви.	1	0	0	0	0	0
RT : княгині, сьогодні ваш день, зі святом! ;)	1	0	0	0	0	0
Одну тількино зустріла))) Таке миле творіння.	1	0	0	0	0	0
які там лайки,коли є Дача))	1	0	0	0	0	0
ну яка лінійка! зараз є лазерні рулетки))	1	0	0	0	0	0
Укрпошта працює добре, дякую  за провірку бабусиних спогадів!	1	0	0	0	0	0
В мене вийшло останній місяць відпустити.	1	0	0	0	0	0
дякую, я воздіржусь, жахи мають бути жахливими, а не смішними))) словосполучення шина-вбивця у мене викликає напад сміху)))))	1	0	0	0	0	0
В Тернополі в парку free Wi-Fi,приємна несподіванка!	1	0	0	0	0	0
Чемпіонат дуже сподобався, з'явилися фаворити навіть.	1	0	0	0	0	0
Ласкаво прошу до нашого клубу, ми завжди раді новим, на жаль, страждаючим серцям	1	0	0	1	0	0
Чистого сонячного львівського неба і багато!	1	0	0	0	0	0
паходу я консєрватор) але якшо прикрити на фоточці кросівки, то дуже лайк)	1	0	0	0	0	0
то я в тому сенсі, шо атлічно виглядаєш	1	0	0	0	0	0
я просто мушу подякувати всім за цей вечір. бо такого хорошого настрою у мене давно не було.	1	0	0	0	0	0
тепер можете мене вітати - мені дали роботу!	1	0	0	0	0	0
хаха))) мій дім - твій дім))	1	0	0	0	0	0
мені аби додому донести його:)	1	0	0	0	0	0
авввв*-* хочу ще таких фоточок *-*	1	0	0	0	0	0
дивилася...якось в мене був період фільм про художників;) тепер раніма душа хоче вічної любові у кінострічках;)	1	0	0	0	0	0
Замучені і брудні, але задоволені.	1	0	0	0	0	0
класненько, чорт візьми. просто шикарно.	1	0	0	0	0	0
RT : Дякую зв'яківцям за зв'язок і вітаю зі святом!	1	0	0	0	0	0
а взагалі, не парься і відіщли їх до їхніх мужиків в цей день ;)	1	0	0	0	0	0
Не дарма були всі ті роки, коли я була надто відірваною від реальності і здихала з голоду, коли залишалася вдома сама.	1	0	0	0	0	0
ти вже ощасливив своїм 21сантиметровим)))	1	0	0	0	0	0
і в мого тата завтра день народження, святкування ;)	1	0	0	0	0	0
якщо що, то зараз у мене чудовий настрій. вже тиждень десь.	1	0	0	0	0	0
а я спішу на роботку) відвалялась свої 2,5 місяці)	1	0	0	0	0	0
дякую, мені теж сподобалося як сіли.	1	0	0	0	0	0
потім полетіла окрилена натхненням пішки в Рясне	1	0	0	0	0	0
класний кліп! )))Оратанія - Хлопець кучерявий:  via	1	0	0	0	0	0
в бабці пахне булочками і варенням з рожі, ватрушками з сиру)	1	0	0	0	0	0
Вперше стриглась в чоловіка і вперше після стрижки, прямо в салоні дивилась на себе і думала: ну нічьосє, яка я красоточка :D	1	0	0	0	0	0
Ранки із салатів - фруктових, овочевих, головне корисних і смачних:)	1	0	0	0	0	0
мені подарували нові Косси Порта Про :)) це чудово)	1	0	0	0	0	0
Приємна прохолода, хоч щось приємне за весь день.	1	0	0	0	0	0
приємно слухати пісні присвячені мені...))	1	0	0	0	0	0
Передала на радіо вітання для Нати,надіюсь встигне прийти з магазину =)	1	0	0	0	0	0
з таким графіком...просто робота буде за щастя)	1	0	0	0	0	0
Прикольна акція в  iз сайтом booking.сom  Нарахували 300 грн для використання у роумінгу.	1	0	0	0	0	0
таке класне перезавантаження мозгів :))	1	0	0	0	0	0
ой, таки стірала) але тре притертись, бо Вова то Вова, він мілашка, а в мене характер — агонь, я б з соьою не витримала)	1	0	0	0	0	0
Доброго ранку, котики ^^ Усміхніться і проживіть цей день з задоволенням)	1	0	0	0	0	0
капібари прикольні, дотогож одомашнені, тож можна додому собі купити	1	0	0	0	0	0
чудєсні. я думала спершу шо то листівку тобі надіслали	1	0	0	0	0	0
залікову сесію закрила і тішуся!	1	0	0	0	0	0
влюбилась в серіал з першої серії	1	0	0	0	0	0
Дотягнула тонелі до 18мм Сиджу довольна	1	0	0	0	0	0
Як же шикарно, що у мене лише брати	1	0	0	0	0	0
а я сьогодні біжу до щастя:)	1	0	0	0	0	0
Минулий тиждень щасливих днів, подій, вина, вини і дна ;)	1	0	0	0	0	0
О, то дуже класна маска!	1	0	0	0	0	0
дякую, а посмішку долі одну недавно отримала.	1	0	0	0	0	0
І я буду, і маю сюрприз=))	1	0	0	0	0	0
хочу трохи закритися, таке внутрішнє бажання...хоча замочок нічого і не дає)	1	0	0	0	0	0
Нуууу, да  Але анубіс шикарнючий)	1	0	0	0	0	0
ну то вони до них і худнуть)	1	0	0	0	0	0
бо смисл - відчути щастя хоча б трошки)	1	0	0	0	0	0
Знаючи французів, дико ржу з фільму "Qu'est-ce qu'on a fait au Bon Dieu?"	1	0	0	0	0	0
сьогодні ночую в племяші - відісплюся!)	1	0	0	0	0	0
бо думаю що це люди...хоча помітила, коли вони без голови, то не боюся;))	1	0	0	0	0	0
Дякую за можливість нарядитися і покрасуватися на ровері;)	1	0	0	0	0	0
Це найкраща погода в світі,і прокидатись бачачи у вікно її - мій особистий рай	1	0	0	0	0	0
приємно, що батьки такі дорослі і самостіні: пішли собі чаю зробили ... знайшли Wish-list, знайшли подарунок, купили, привезли))	1	0	0	0	0	0
Короче цьомаю, обнімаю, зі святом, сонечко  Залишайся таким самим чудовим та талановитим, щастя, здоров'я, любові та натхнення тобі!	1	0	0	0	0	0
Дякую тим людям, які зробили мій день!	1	0	0	0	0	0
Для: Посміхніться, тому що життя прекрасна річ, і є багато причин для посмішок.	1	0	0	0	0	0
о!Бабця мені наробила коралів:) такі всі модні!	1	0	0	0	0	0
В зоомагазині тепер працює такий шикарний хлопець	1	0	0	0	0	0
Сонечка вам обом багато, як на цій світлині!	1	0	0	0	0	0
А головне м'ясо їсти з хлібом;)	1	0	0	0	0	0
рівно рік тому переїхала на нову квартиру!	1	0	0	0	0	0
Як же добре, що підчас нервів і міні депресій я не обжираюсь, а навпаки перестаю нормально їсти.	1	0	0	0	0	0
Я з того ржала ще тижня два, ех, весело	1	0	0	0	0	0
Але, божечко, як добре вдома.	1	0	0	0	0	0
– У нас новий тур, дякую усім хто нас любить!	1	0	0	0	0	0
коли я вже виберуся до вас в гості!))	1	0	0	0	0	0
завтра напісяю всім причетним до цього іхіхіхі нищечком в чай.	1	0	0	0	0	0
в Петра серйозна екскурсійна програма у Днепрі))	1	0	0	0	0	0
так і не зняла браслетик з фесту, бо це були надзвичайні вихідні, від яких ще довго будуть спогади.	1	0	0	0	0	0
Дякуєм  бо завдяки їй ми сьогодні в хостелі вип'ємо вино)	1	0	0	0	0	0
боже, то прекрасно! чого мені нічого не сниться(	1	0	0	1	0	0
Субота явно найкращий день тижня	1	0	0	0	0	0
спатки йди, труся :з гарних снів)	1	0	0	0	0	0
я не забуваю, на жаль...вони мені жити нормально не дають=)	1	0	0	0	0	0
дякую, що приїхав і привіз з собою іскри натхнення ;)	1	0	0	0	0	0
Трошки сонця в цей похмурий день…	1	0	0	0	0	0
Випадково натрапила на крутєйша канал українки.	1	0	0	0	0	0
Вітаю! і бажаю лише дощу щастя, здоров"я і кохання!))	1	0	0	0	0	0
дуже дякую) це було чудово)	1	0	0	0	0	0
Чекаю на зустріч з  , бо буде багато обнімах	1	0	0	0	0	0
сенсей зацінив мої поетичні здібності, оце щастя) *ну, цигарку зігнути і обидва кінці до рота гг	1	0	0	0	0	0
Я про це давно вже думала  Цікава теорія, мені сподобалося	1	0	0	0	0	0
Погладив, м'ячик кинув і веселіше стало	1	0	0	0	0	0
Купила сосиску в тісті. . .така форма,шо соромно на людях їсти:D Зато смачно!	1	0	0	0	0	0
але і справді призворить до змін в житті =)	1	0	0	0	0	0
я сиджу на майдані, мені вже кльово, а тут ще ви підхвалюєте)	1	0	0	0	0	0
Але ж веселять ці відірвані від сьогоднішньої української реальності діаспоряни, котрі захищають пройдисвітів, що цінічно їх же кинули.	1	0	0	0	0	0
Там дуже кльово і цікаво,і можна залипнути на півдня) Ще й та місцевість красива.	1	0	0	0	0	0
Пройшла тест магеллано на профорієнтацію і поняла шо я не все потєряно	1	0	0	0	0	0
я теж після того твіту про тебе подумала і пожаліла)))	1	0	0	1	0	0
Курити в машині на швидкості 140 ки,та сама музика по кругу ,грузіни і мии і нічне Тбілісі.	1	0	0	0	0	0
Словом, було досить смішно, радий що провів з нею трохи часу.	1	0	0	0	0	0
того мене всі і бояться))	1	0	0	0	0	0
RT : Вітаю чудову людину і справжнього надійного товариша  з днем народження!	1	0	0	0	0	0
ех, не повірите, інколи так приємно коли на тебе сваряться і ти відчуваєш себе такою маленькою незахищеною вредною школяркою...) ммм)	1	0	0	0	0	0
як замінити це страшне слово "наступаючий" ?))	1	0	0	0	0	0
але є і хороші новини	1	0	0	0	0	0
Згадала одну недавню ніч і тепер сижу посміхаюсь))	1	0	0	0	0	0
Одружується кращий друг, все дуже гарно (@ Парк Корсунь-Шевченковский (Музей ВОВ) w/  )	1	0	0	0	0	0
а нічо така попса від литви. де мої двєнацать лєт	1	0	0	0	0	0
Хей, удачі :з Все вийде!)	1	0	0	0	0	0
RT : Нова радість стала	1	0	0	0	0	0
Радує, що Клички не тільки сильні,але і розумні та з почутям гумору хлопці;)	1	0	0	0	0	0
і я приєднуюсь до привітань!	1	0	0	0	0	0
взаємно,сонечко))) (ох я й насміялася з вами)	1	0	0	0	0	0
мені погано, але сусіду ще гірше і від цього мені краще	1	0	0	0	0	0
Пінтерест мене гарно знає  Хах	1	0	0	0	0	0
думаю, буде весело жувати налисники десь у парку, нє?)	1	0	0	0	0	0
ше буду відходити тиждень ))	1	0	0	0	0	0
Продуктивний день, не дивлячись на всю його святковість.	1	0	0	0	0	0
та не те слово, падгулявші навіть)	1	0	0	0	0	0
 а мені пів життя везе жити з "Шелдонами" ...)))Привіт!	1	0	0	0	0	0
жаль-жаль і тато був би радий :)	1	0	0	0	0	0
Вчора проходили повз магазин пандори і там був аншлаг)	1	0	0	0	0	0
Нарешті я можу не боятись, шо мій айфон замерзне і розрядиться.	1	0	0	0	0	0
Напилась чаю з медом і лимонами і нарешті вляглась.	1	0	0	0	0	0
"Мрії повинні здійснюватись" Дякую,  , за здійснення моєї	1	0	0	0	0	0
Ух.Мені поміняли Windows)Жесть,Я так перелякалася коли мені вибило "З вас штраф 50 грн. за посещения сайтов педофилии")А мама у якому шоці))	1	1	0	0	0	0
одна дівчина носила перуку) бо вона акторка.	1	0	0	0	0	0
Дуже зож)) не була там ще, але чула	1	0	0	0	0	0
обов'язково! у вас завжди цікаві конкурси!=)	1	0	0	0	0	0
Читаю,що має збутися і посміхаюсь:)дякую:)	1	0	0	0	0	0
А Роща у таку пору доби - просто неймовірна	1	0	0	0	0	0
Бери від життя все і з посмішкою!	1	0	0	0	0	0
Незабаром знайшли будиночок покинутий. там були шикарнєйші умови і камін.	1	0	0	0	0	0
Ті відчуття, коли подих морозного повітря запиваєш ковтком лате.	1	0	0	0	0	0
в цій мелодії зараз я вся!! і це не сумно...Keiko Matsui - The Road...:  via	1	0	0	0	0	0
Все таки манікюришмоткикорекціябрів підночить настрій	1	0	0	0	0	0
Читаю ФБ стрічку і сміюся.	1	0	0	0	0	0
знаєте, минулого року йшла по Львову, а  всі були парами- парами... було і кумедно і обідно... отаке)	1	0	0	1	0	0
Приєднуюсь до чудових побажань.пора в ліжечкоRT Добраніч, янголята;-) посміхніться зранку, посиіхніться першій людині, яку зустрінете	1	0	0	0	0	0
От тільки зрозуміла, що до наших з  відпусток лишилося менше днів ніж до Нового року:)	1	0	0	0	0	0
дуже всім дякую за картинки!  чорт, вони всі таке неймовірні :з	1	0	0	0	0	0
ахах, як цікаво ти розповідаєш)	1	0	0	0	0	0
шо відео, шо аудіо. чудєсні  і всього лиш два альбоми. єсса.	1	0	0	0	0	0
Ти думала, що це завуальована скарга на пасажирів з дітьми?)) Я навіть не подумала, що хтось може так подумати))	1	0	0	0	0	0
вимила Патріка. вперше. чув весь будинок. а може навіть сусідні. тепер він зі мною не розмовляє. але від обіду з моїх рук не відмовився)	1	0	0	0	0	0
як добре, що у мене немає кота	1	0	0	0	0	0
сміюсь. боюсь ретвітити даби не накликати подібну хвилю фоловлення.	1	0	0	0	0	0
оввввв :з це так мило)	1	0	0	0	0	0
мої вітання!! будьте вірними і щасливими))	1	0	0	0	0	0
а на весь дім грають кохані АЕ <3	1	0	0	0	0	0
Попереду вихідні, празник, щось смачненьке буде =)	1	0	0	0	0	0
він дуже легкий у використанні і зручний!	1	0	0	0	0	0
таки ж м'яка! дякую за поради;)	1	0	0	0	0	0
Ну і краса ж той парк!	1	0	0	0	0	0
Це породжує безліч смішних ситуацій гг	1	0	0	0	0	0
Смачного мені:) і всім дякую за компанію)	1	0	0	0	0	0
Хух, за весь день нарешті прилетіла хоч одна гарна новина, що підняла настрій.	1	0	0	0	0	0
Хтось у мене буде ще більшим красунчиком	1	0	0	0	0	0
Тоже вже хочу спробувати, але домовилаь, що лише з другом спробую, от жду зустрічі)	1	0	0	0	0	0
Може, мені зараз найпрекрасніше) Просто влітку жити хочеться, а інші пори року мене грузять.	1	0	0	1	0	0
Велкам ту зе клаб, дивно, але думала тобі 23;)	1	0	0	0	0	0
То так мило і гарно.	1	0	0	0	0	0
але Львів - це чудово!	1	0	0	0	0	0
вони страшненькі і не ок) хоч є і винятки)	1	0	0	0	0	0
Зате мамам їхнім отлічний подарун:)	1	0	0	0	0	0
так приємно... не очікувала аж такої реакції))	1	0	0	0	0	1
Дякую всім за листівкові вітання!;))	1	0	0	0	0	0
І найголовніше, з Новим роком, пташки!!!	1	0	0	0	0	0
ахахаха супер, гарна подія в історії, дякую, що не забуваєш мене з нею привітать. ))))))	1	0	0	0	0	0
Приємно знати, що у цьому світі є люди, які не знають про існування, наприклад, Imagine Dragons	1	0	0	0	0	0
зі святом) і татові вітання!)	1	0	0	0	0	0
після коуба мені вже нічого не страшно)))	1	0	0	0	0	0
аахха, чудово, спасибі) всього хорошого тобі, Олексію,  в прийдешньому році;)	1	0	0	0	0	0
скучаєте за Львовом? =) гляньте на мiй фон =)	1	0	0	0	0	0
шось в цьому є) миленько))	1	0	0	0	0	0
Валя, вітаю з днем народження!	1	0	0	0	0	0
доброго ранку, тві, гарного вам дня ^^  грійтеся сьогодні і не хворійте.	1	0	0	0	0	0
Я і  будемо всю ніч до Франківська швидко і весело куриш	1	0	0	0	0	0
актори такі класні в кліпі!))	1	0	0	0	0	0
Всім привіт від  Він живе в дуже хорошій сім'ї:)	1	0	0	0	0	0
я їду на малу Батьківщину, добре що тепло в електричці:)	1	0	0	0	0	0
Ми ж маємо все, що потрібно для щастя.	1	0	0	0	0	0
це ж нічо шо я через два дні розцейво?) щастя здоровля нових звершень і успішних творінь, і прочого добра багацько:)	1	0	0	0	0	0
нарешті зустріла любимку :з   просто чарівні має очі <	1	0	0	0	0	0
RT : Бідні мої сусіди :)	1	0	0	0	0	0
дуже багато хорошого алкоголю вчора було))	1	0	0	0	0	0
він такий милий при знайомстві:)) як ведмедик	1	0	0	0	0	0
Ще тільки вийшовши з ліфта я зрозуміла, що мій коханих приймав ванну, бо лавандою пахло ))	1	0	0	0	0	0
така ржака, посони, - є студенти, які мене бояться.	1	0	0	0	0	0
Пташки щебечуть, що  свято святкує ;)	1	0	0	0	0	0
Потім ще йшли по дорозі і лякали один одного,в мене чуть серце не стало:))Потім ще на лавочці додивлялися ужастіки)	1	1	0	0	0	0
о, якраз) я вагалась між нею і вишиванкою)	1	0	0	0	0	0
Побачила і згадала твіт  про мрію)	1	0	0	0	0	0
вдалого приземлення в рідних краях!!	1	0	0	0	0	0
